date,vpoc,value_area_low,value_area_high,value_area_width,total_volume
2022-09-08,4022.75,3963.0,4025.5,62.5,107560
2022-09-09,4053.5,4051.0,4078.0,27.0,536258
2022-09-12,4128.5,4104.5,4135.25,30.75,641625
2022-09-13,4003.5,3998.0,4158.5,160.5,1189072
2022-09-14,3962.5,3951.25,3972.25,21.0,1054640
2022-09-15,3968.5,3926.75,3971.25,44.5,1052159
2022-09-16,3870.25,3863.25,3879.25,16.0,1207960
2022-09-19,3880.0,3856.5,3900.75,44.25,914194
2022-09-20,3869.25,3866.0,3882.75,16.75,1000168
2022-09-21,3892.0,3889.5,3898.25,8.75,622738
2022-09-22,3780.0,3767.5,3804.25,36.75,1158910
2022-09-23,3707.25,3702.75,3727.0,24.25,1261129
2022-09-26,3710.5,3687.0,3727.5,40.5,1178548
2022-09-27,3710.25,3681.5,3722.0,40.5,1246044
2022-09-28,3695.5,3655.25,3706.75,51.5,1316513
2022-09-29,3653.25,3635.0,3696.0,61.0,1328145
2022-09-30,3651.0,3644.0,3681.75,37.75,1212996
2022-10-03,3669.0,3625.0,3676.75,51.75,1070967
2022-10-04,3794.25,3747.25,3800.0,52.75,1068738
2022-10-05,3769.75,3738.75,3771.5,32.75,888501
2022-10-06,3781.5,3766.5,3792.5,26.0,1058218
2022-10-07,3685.75,3673.0,3755.75,82.75,1076901
2022-10-10,3626.5,3621.0,3664.75,43.75,902016
2022-10-11,3606.0,3584.5,3617.5,33.0,1006179
2022-10-12,3609.0,3600.5,3614.0,13.5,974284
2022-10-13,3512.25,3506.0,3651.0,145.0,1904125
2022-10-14,3643.5,3625.0,3722.5,97.5,1449569
2022-10-17,3689.25,3672.25,3694.25,22.0,935195
2022-10-18,3740.5,3706.0,3775.25,69.25,1264849
2022-10-19,3717.5,3707.75,3727.75,20.0,1049261
2022-10-20,3733.5,3696.0,3740.5,44.5,1060388
2022-10-21,3697.25,3666.0,3719.5,53.5,1491929
2022-10-24,3780.75,3769.0,3793.0,24.0,1057658
2022-10-25,3843.0,3794.75,3859.75,65.0,794990
2022-10-26,3845.25,3836.5,3894.25,57.75,971777
2022-10-27,3844.25,3834.25,3862.0,27.75,1029626
2022-10-28,3875.25,3795.25,3882.5,87.25,989302
2022-10-31,3888.5,3876.75,3892.75,16.0,768337
2022-11-01,3865.25,3856.75,3925.25,68.5,944390
2022-11-02,3847.25,3841.75,3851.0,9.25,555461
2022-11-03,3734.25,3721.25,3748.5,27.25,972512
2022-11-04,3777.5,3744.25,3795.75,51.5,1235259
2022-11-07,3787.0,3781.25,3795.25,14.0,526529
2022-11-08,3824.75,3812.75,3846.75,34.0,535526
2022-11-09,3802.25,3799.25,3823.5,24.25,652001
2022-11-10,3912.25,3765.5,3916.75,151.25,1057737
2022-11-11,3981.5,3965.25,3986.5,21.25,704157
2022-11-14,3984.25,3981.25,3998.5,17.25,494039
2022-11-15,4030.75,4019.25,4036.75,17.5,697972
2022-11-16,3978.25,3974.25,3998.5,24.25,499669
2022-11-17,3922.0,3916.25,3929.5,13.25,589633
2022-11-18,3964.75,3961.0,3991.0,30.0,536928
2022-11-21,3959.5,3949.25,3965.5,16.25,370192
2022-11-22,3981.0,3965.0,3982.25,17.25,429099
2022-11-23,4026.25,4005.5,4032.25,26.75,385146
2022-11-24,4044.75,4041.25,4046.75,5.5,50481
2022-11-25,4035.5,4028.25,4038.0,9.75,246195
2022-11-28,4002.5,3998.5,4011.75,13.25,438208
2022-11-29,3971.75,3965.0,3979.0,14.0,437059
2022-11-30,3950.5,3949.25,3969.5,20.25,450766
2022-12-01,4096.75,4061.25,4103.5,42.25,706646
2022-12-02,4042.75,4016.5,4053.0,36.5,796488
2022-12-05,4046.75,4030.75,4054.5,23.75,450982
2022-12-06,3965.75,3957.0,4006.5,49.5,588972
2022-12-07,3934.5,3929.5,3947.25,17.75,776658
2022-12-08,3970.0,3941.75,3973.5,31.75,532447
2022-12-09,3958.75,3947.25,3968.5,21.25,486696
